Abogado Abogada
Académico Académica
Adjunto Adjunta
Administrador Administradora
Administrativo Administrativa
Agrónomo Agrónoma
Alergólogo Alergóloga
Alergista Alergista
Almacenero Almacenera
Almacenista Almacenista
Anatomista Anatomista
Anestesiólogo Anestesióloga
Anestesista Anestesista
Antologista Antologista
Antropólogo Antropóloga
Arabista Arabista
Archivero Archivera
Arqueólogo Arqueóloga
Arquitecto Arquitecta
Asesor Asesora
Asistente Asistenta
Astrofísico Astrofísica
Astrólogo Astróloga
Astrónomo Astrónoma
Atleta Atleta
ATS ATS
Autor Autora
Auxiliar Auxiliar
Avicultor Avicultora
Bacteriólogo Bacterióloga
Bedel Bedela
Bibliógrafo Bibliógrafa
Bibliotecario Bibliotecaria
Biofísico Biofísica
Biógrafo Biógrafa
Biólogo Bióloga
Bioquímico Bioquímica
Botánico Botánica
Cancerólogo Canceróloga
Cardiólogo Cardióloga
Cartógrafo Cartógrafa
Castrador Castradora
Catedrático Catedrática
Cirujano Cirujana
Citólogo Citóloga
Climatólogo Climatóloga
Codirector Codirectora
Comadrón Comadrona
Consejero Consejera
Conserje Conserje
Conservador Conservadora
Coordinador Coordinadora
Cosmógrafo Cosmógrafa
Cosmólogo Cosmóloga
Criminalista Criminalista
Cronólogo Cronóloga
Decano Decana
Decorador Decoradora
Defensor Defensora
Delegado Delegada
Delineante Delineante
Demógrafo Demógrafa
Dentista Dentista
Dermatólogo Dermatóloga
Dibujante Dibujante
Directivo Directiva
Director Directora
Dirigente Dirigente
Doctor Doctora
Documentalista Documentalista
Ecólogo Ecóloga
Economista Economista
Educador Educadora
Egiptólogo Egiptóloga
Endocrinólogo Endocrinóloga
Enfermero Enfermera
Enólogo Enóloga
Entomólogo Entomóloga
Epidemiólogo Epidemióloga
Especialista Especialista
Espeleólogo Espeleóloga
Estadista Estadista
Estadístico Estadística
Etimólogo Etimóloga
Etimologista Etimologista
Etnógrafo Etnógrafa
Etnólogo Etnóloga
Etólogo Etóloga
Examinador Examinadora
Facultativo Facultativa
Farmacéutico Farmacéutica
Farmacólogo Farmacóloga
Filólogo Filóloga
Filósofo Filósofa
Fiscal Fiscal
Físico Física
Fisiólogo Fisióloga
Fisioterapeuta Fisioterapeuta
Fonetista Fonetista
Foníatra Foníatra
Fonólogo Fonóloga
Forense Forense
Fotógrafo Fotógrafa
Funcionario Funcionaria
Gemólogo Gerente
Genetista Geriatra
Geobotánica Gerontólogo
Geodesta Gestor
Geofísico Grabador
Geógrafo Graduado social
Geólogo Grafólogo
Geomántico Gramático
Gemóloga Geómetra
Genetista Geoquímica
Geobotánica Gerenta/gerente
Geodesta Geriatra
Geofísica Gerontóloga
Geógrafa Gestora
Geóloga Grabadora
Geomántica Graduada social
2Geómetra Grafóloga
Geoquímica Gramática
Hematólogo Hematóloga
Hepatólogo Hepatóloga
Hidrogeólogo Hidrogeóloga
Hidrógrafo Hidrógrafa
Hidrólogo Hidróloga
Higienista Higienista
Hispanista Hispanista
Historiador Historiadora
Homeópata Homeópata
Informático Informática
Ingeniero Ingeniera
Ingeniero técnico Ingeniera técnica
Inmunólogo Inmunóloga
Inspector Inspectora
Interino Interina
Interventor Interventora
Investigador Investigadora
Jardinero Jardinera
Jefe Jefa/jefe
Juez Jueza/juez
Latinista Latinista
Lector Lectora
Letrado (abogado) Letrada (abogada)
Lexicógrafo Lexicógrafa
Lexicólogo Lexicóloga
Licenciado Licenciada
Lingüista Lingüista
Logopeda Logopeda
Maestro Maestra
Matemático Matemática
Matrón Matrona
Medico Medica
Meteorólogo Meteoróloga
Micólogo Micóloga
Microbiológico Microbiológica
Microcirujano Microcirujana
Mimógrafo Mimógrafa
Mineralogista Mineralogista
Monitor Monitora
Musicólogo Musicóloga
Naturópata Neurofisiólogo
Nefrólogo Neurólogo
Neumólogo Nutrólogo
Naturópata Neuroanatomista
Nefróloga Neurobióloga
Neumóloga Neurocirujano
3Neuroanatomista Neuroembrióloga
Neurobiólogo Neurofisióloga
Neurocirujano Neuróloga
Neuroembriólogo Nutróloga
Oceanógrafo Oceanógrafa
Odontólogo Odontóloga
Oficial Oficial/Oficiala
Oficinista Oficinista
